layout,S,H,D,head_start,heads_processed,trial,iterations,ns_per_call,max_abs_error,seed,cache_mode
HSD,128,32,64,16,1,9,8192,2464.70141602,1.08839121538e-06,0,repeated_buffer
SHD,128,32,64,16,1,9,8192,2590.86608887,1.08839121538e-06,0,repeated_buffer
DSH,128,32,64,16,1,9,4096,6130.71704102,1.11687002402e-06,0,repeated_buffer
DSH,128,32,128,16,1,0,2048,14308.9394531,2.61721359607e-06,0,repeated_buffer
SHD,128,32,128,16,1,0,4096,7054.56542969,2.61721359607e-06,0,repeated_buffer
HSD,128,32,128,16,1,0,4096,6950.38842773,2.61721359607e-06,0,repeated_buffer
SHD,128,32,128,16,1,1,4096,6947.74389648,2.61721359607e-06,0,repeated_buffer
DSH,128,32,128,16,1,1,2048,18016.2558594,2.61721359607e-06,0,repeated_buffer
HSD,128,32,128,16,1,1,4096,6978.49536133,2.61721359607e-06,0,repeated_buffer
SHD,128,32,128,16,1,2,4096,7050.54711914,2.61721359607e-06,0,repeated_buffer
HSD,128,32,128,16,1,2,4096,6924.35693359,2.61721359607e-06,0,repeated_buffer
DSH,128,32,128,16,1,2,2048,14011.4951172,2.61721359607e-06,0,repeated_buffer
HSD,128,32,128,16,1,3,4096,6907.72509766,2.61721359607e-06,0,repeated_buffer
DSH,128,32,128,16,1,3,2048,13806.2543945,2.61721359607e-06,0,repeated_buffer
SHD,128,32,128,16,1,3,4096,6957.25512695,2.61721359607e-06,0,repeated_buffer
HSD,128,32,128,16,1,4,4096,6925.91357422,2.61721359607e-06,0,repeated_buffer
DSH,128,32,128,16,1,4,2048,13820.0888672,2.61721359607e-06,0,repeated_buffer
SHD,128,32,128,16,1,4,4096,6959.19799805,2.61721359607e-06,0,repeated_buffer
SHD,128,32,128,16,1,5,4096,7016.63208008,2.61721359607e-06,0,repeated_buffer
DSH,128,32,128,16,1,5,2048,13845.5405273,2.61721359607e-06,0,repeated_buffer
HSD,128,32,128,16,1,5,4096,6919.85083008,2.61721359607e-06,0,repeated_buffer
DSH,128,32,128,16,1,6,2048,13821.6757812,2.61721359607e-06,0,repeated_buffer
HSD,128,32,128,16,1,6,4096,6926.20849609,2.61721359607e-06,0,repeated_buffer
SHD,128,32,128,16,1,6,4096,6939.95141602,2.61721359607e-06,0,repeated_buffer
SHD,128,32,128,16,1,7,4096,6926.29003906,2.61721359607e-06,0,repeated_buffer
HSD,128,32,128,16,1,7,4096,6933.78710938,2.61721359607e-06,0,repeated_buffer
DSH,128,32,128,16,1,7,2048,13548.5839844,2.61721359607e-06,0,repeated_buffer
DSH,128,32,128,16,1,8,2048,13557.3730469,2.61721359607e-06,0,repeated_buffer
SHD,128,32,128,16,1,8,4096,6921.09179688,2.61721359607e-06,0,repeated_buffer
HSD,128,32,128,16,1,8,4096,6888.27514648,2.61721359607e-06,0,repeated_buffer
SHD,128,32,128,16,1,9,4096,6951.19213867,2.61721359607e-06,0,repeated_buffer
HSD,128,32,128,16,1,9,4096,6902.69970703,2.61721359607e-06,0,repeated_buffer
DSH,128,32,128,16,1,9,2048,13565.246582,2.61721359607e-06,0,repeated_buffer
DSH,1024,1,64,0,1,0,512,43408.609375,2.08349594288e-06,0,repeated_buffer
SHD,1024,1,64,0,1,0,1024,19646.7695312,2.56033310109e-06,0,repeated_buffer
HSD,1024,1,64,0,1,0,1024,19608.3984375,2.56033310109e-06,0,repeated_buffer
SHD,1024,1,64,0,1,1,1024,19609.3339844,2.56033310109e-06,0,repeated_buffer
DSH,1024,1,64,0,1,1,512,43118,2.08349594288e-06,0,repeated_buffer
HSD,1024,1,64,0,1,1,1024,19678.1416016,2.56033310109e-06,0,repeated_buffer
DSH,1024,1,64,0,1,2,512,42807.3730469,2.08349594288e-06,0,repeated_buffer
HSD,1024,1,64,0,1,2,1024,19601.0332031,2.56033310109e-06,0,repeated_buffer
SHD,1024,1,64,0,1,2,1024,19581.7470703,2.56033310109e-06,0,repeated_buffer
SHD,1024,1,64,0,1,3,1024,19715.1699219,2.56033310109e-06,0,repeated_buffer
DSH,1024,1,64,0,1,3,512,43020.5078125,2.08349594288e-06,0,repeated_buffer
HSD,1024,1,64,0,1,3,1024,19631.4287109,2.56033310109e-06,0,repeated_buffer
SHD,1024,1,64,0,1,4,1024,19627.359375,2.56033310109e-06,0,repeated_buffer
HSD,1024,1,64,0,1,4,1024,19676.5947266,2.56033310109e-06,0,repeated_buffer
DSH,1024,1,64,0,1,4,512,46110.6757812,2.08349594288e-06,0,repeated_buffer
SHD,1024,1,64,0,1,5,1024,20717.8955078,2.56033310109e-06,0,repeated_buffer
