layout,S,H,D,head_start,heads_processed,trial,iterations,ns_per_call,max_abs_error,seed,cache_mode
DSH,32768,1,64,0,1,5,16,1926127.625,2.81281259618e-06,0,repeated_buffer
HSD,32768,1,64,0,1,5,32,1148994.78125,2.81281259618e-06,0,repeated_buffer
HSD,32768,1,64,0,1,6,32,1147087.21875,2.81281259618e-06,0,repeated_buffer
SHD,32768,1,64,0,1,6,32,1161462.25,2.81281259618e-06,0,repeated_buffer
DSH,32768,1,64,0,1,6,16,1943294.25,2.81281259618e-06,0,repeated_buffer
HSD,32768,1,64,0,1,7,32,1144062.5,2.81281259618e-06,0,repeated_buffer
SHD,32768,1,64,0,1,7,32,1187546.875,2.81281259618e-06,0,repeated_buffer
DSH,32768,1,64,0,1,7,16,2020158.8125,2.81281259618e-06,0,repeated_buffer
DSH,32768,1,64,0,1,8,16,2020250,2.81281259618e-06,0,repeated_buffer
HSD,32768,1,64,0,1,8,32,1165246.09375,2.81281259618e-06,0,repeated_buffer
SHD,32768,1,64,0,1,8,32,1180180.96875,2.81281259618e-06,0,repeated_buffer
DSH,32768,1,64,0,1,9,16,2024489.5625,2.81281259618e-06,0,repeated_buffer
HSD,32768,1,64,0,1,9,32,1160130.21875,2.81281259618e-06,0,repeated_buffer
SHD,32768,1,64,0,1,9,32,1159044.28125,2.81281259618e-06,0,repeated_buffer
DSH,32768,1,128,0,1,0,8,4688609.375,6.04175916408e-06,0,repeated_buffer
HSD,32768,1,128,0,1,0,8,3038677.125,6.04175916408e-06,0,repeated_buffer
SHD,32768,1,128,0,1,0,8,3038729.125,6.04175916408e-06,0,repeated_buffer
HSD,32768,1,128,0,1,1,8,3044885.375,6.04175916408e-06,0,repeated_buffer
DSH,32768,1,128,0,1,1,8,4644208.375,6.04175916408e-06,0,repeated_buffer
SHD,32768,1,128,0,1,1,8,3042083.25,6.04175916408e-06,0,repeated_buffer
SHD,32768,1,128,0,1,2,8,3039302.125,6.04175916408e-06,0,repeated_buffer
HSD,32768,1,128,0,1,2,8,3038276,6.04175916408e-06,0,repeated_buffer
DSH,32768,1,128,0,1,2,8,4647781.25,6.04175916408e-06,0,repeated_buffer
DSH,32768,1,128,0,1,3,8,4663036.375,6.04175916408e-06,0,repeated_buffer
SHD,32768,1,128,0,1,3,8,3041906.25,6.04175916408e-06,0,repeated_buffer
HSD,32768,1,128,0,1,3,8,3040489.625,6.04175916408e-06,0,repeated_buffer
HSD,32768,1,128,0,1,4,8,3038770.75,6.04175916408e-06,0,repeated_buffer
SHD,32768,1,128,0,1,4,8,3037546.875,6.04175916408e-06,0,repeated_buffer
DSH,32768,1,128,0,1,4,8,4641104.25,6.04175916408e-06,0,repeated_buffer
