layout,S,H,D,head_start,heads_processed,trial,iterations,ns_per_call,max_abs_error,seed,cache_mode
HSD,128,32,128,16,1,6,4096,6837.74804688,2.61721359607e-06,0,repeated_buffer
SHD,128,32,128,16,1,6,4096,6911.68212891,2.61721359607e-06,0,repeated_buffer
SHD,128,32,128,16,1,7,4096,6931.32543945,2.61721359607e-06,0,repeated_buffer
HSD,128,32,128,16,1,7,4096,6845.8762207,2.61721359607e-06,0,repeated_buffer
DSH,128,32,128,16,1,7,2048,13545.715332,2.61721359607e-06,0,repeated_buffer
DSH,128,32,128,16,1,8,2048,13530.9042969,2.61721359607e-06,0,repeated_buffer
SHD,128,32,128,16,1,8,4096,6915.0390625,2.61721359607e-06,0,repeated_buffer
HSD,128,32,128,16,1,8,4096,6894.02270508,2.61721359607e-06,0,repeated_buffer
SHD,128,32,128,16,1,9,4096,6926.74755859,2.61721359607e-06,0,repeated_buffer
HSD,128,32,128,16,1,9,4096,6842.26489258,2.61721359607e-06,0,repeated_buffer
DSH,128,32,128,16,1,9,2048,13747.2739258,2.61721359607e-06,0,repeated_buffer
DSH,8192,1,64,0,1,0,32,684199.21875,2.52438836412e-06,0,repeated_buffer
HSD,8192,1,64,0,1,0,128,156886.71875,3.3085065354e-06,0,repeated_buffer
SHD,8192,1,64,0,1,0,128,156768.554688,3.3085065354e-06,0,repeated_buffer
HSD,8192,1,64,0,1,1,128,157110.023438,3.3085065354e-06,0,repeated_buffer
DSH,8192,1,64,0,1,1,32,682221.34375,2.52438836412e-06,0,repeated_buffer
SHD,8192,1,64,0,1,1,128,157009.765625,3.3085065354e-06,0,repeated_buffer
DSH,8192,1,64,0,1,2,32,680515.625,2.52438836412e-06,0,repeated_buffer
HSD,8192,1,64,0,1,2,128,156624.351562,3.3085065354e-06,0,repeated_buffer
SHD,8192,1,64,0,1,2,128,156852.539062,3.3085065354e-06,0,repeated_buffer
SHD,8192,1,64,0,1,3,128,156816.078125,3.3085065354e-06,0,repeated_buffer
HSD,8192,1,64,0,1,3,128,156588.867188,3.3085065354e-06,0,repeated_buffer
DSH,8192,1,64,0,1,3,32,688248.6875,2.52438836412e-06,0,repeated_buffer
DSH,8192,1,64,0,1,4,32,687981.78125,2.52438836412e-06,0,repeated_buffer
SHD,8192,1,64,0,1,4,128,156674.148438,3.3085065354e-06,0,repeated_buffer
HSD,8192,1,64,0,1,4,128,157038.085938,3.3085065354e-06,0,repeated_buffer
DSH,8192,1,64,0,1,5,32,687899.75,2.52438836412e-06,0,repeated_buffer
SHD,8192,1,64,0,1,5,128,157093.421875,3.3085065354e-06,0,repeated_buffer
HSD,8192,1,64,0,1,5,128,156652.671875,3.3085065354e-06,0,repeated_buffer
SHD,8192,1,64,0,1,6,128,156645.507812,3.3085065354e-06,0,repeated_buffer
HSD,8192,1,64,0,1,6,128,157035.804688,3.3085065354e-06,0,repeated_buffer
DSH,8192,1,64,0,1,6,32,687416.65625,2.52438836412e-06,0,repeated_buffer
SHD,8192,1,64,0,1,7,128,156851.882812,3.3085065354e-06,0,repeated_buffer
HSD,8192,1,64,0,1,7,128,156709.3125,3.3085065354e-06,0,repeated_buffer
DSH,8192,1,64,0,1,7,32,686562.5,2.52438836412e-06,0,repeated_buffer
HSD,8192,1,64,0,1,8,128,156797.523438,3.3085065354e-06,0,repeated_buffer
SHD,8192,1,64,0,1,8,128,156946.9375,3.3085065354e-06,0,repeated_buffer
DSH,8192,1,64,0,1,8,32,682248.71875,2.52438836412e-06,0,repeated_buffer
SHD,8192,1,64,0,1,9,128,157119.789062,3.3085065354e-06,0,repeated_buffer
HSD,8192,1,64,0,1,9,128,156616.859375,3.3085065354e-06,0,repeated_buffer
DSH,8192,1,64,0,1,9,32,678988.28125,2.52438836412e-06,0,repeated_buffer
DSH,8192,1,128,0,1,0,32,980611.96875,5.98322731094e-06,0,repeated_buffer
HSD,8192,1,128,0,1,0,64,443530.59375,5.02955299453e-06,0,repeated_buffer
SHD,8192,1,128,0,1,0,64,440836.578125,5.02955299453e-06,0,repeated_buffer
HSD,8192,1,128,0,1,1,64,440414.0625,5.02955299453e-06,0,repeated_buffer
DSH,8192,1,128,0,1,1,32,972565.125,5.98322731094e-06,0,repeated_buffer
SHD,8192,1,128,0,1,1,64,443245.4375,5.02955299453e-06,0,repeated_buffer
DSH,8192,1,128,0,1,2,32,967531.25,5.98322731094e-06,0,repeated_buffer
SHD,8192,1,128,0,1,2,64,441154.9375,5.02955299453e-06,0,repeated_buffer
HSD,8192,1,128,0,1,2,64,440291.65625,5.02955299453e-06,0,repeated_buffer
HSD,8192,1,128,0,1,3,64,442070.96875,5.02955299453e-06,0,repeated_buffer
DSH,8192,1,128,0,1,3,32,954002.625,5.98322731094e-06,0,repeated_buffer
