run,S,H,D,head_start,heads_processed,layout,samples,median_us,q1_us,q3_us,time_over_hsd
Run1,32768,32,128,16,1,HSD,10,1806.21875,1796.67903125,1809.0299375,1.0
Run1,32768,32,128,16,1,SHD,10,4801.4375,4626.92321875,4964.223906249999,2.6582812851433415
Run2,128,1,64,0,1,DSH,10,4.737543762205,4.6750195312475,4.803647338865,1.8320104781100592
Run2,128,1,64,0,1,HSD,10,2.5859807128899996,2.5535634765625,2.6165199279799998,1.0
Run2,128,1,64,0,1,SHD,10,2.572087646485,2.5488484802249998,2.6251754760775,0.9946275444608892
Run2,128,1,128,0,1,DSH,10,12.2587788086,12.243998413075001,12.621149658225,1.6882213178913088
Run2,128,1,128,0,1,HSD,10,7.261357666015,7.193107666015001,7.896641906737501,1.0
Run2,128,1,128,0,1,SHD,10,7.2341970214849995,7.14580535889,7.588442443850001,0.99625956387507
Run2,128,8,64,4,1,DSH,10,5.377131103515,5.360122802730001,5.397928833009999,2.156562804902473
Run2,128,8,64,4,1,HSD,10,2.4933802490200003,2.4720433654775,2.507929443355,1.0
Run2,128,8,64,4,1,SHD,10,2.501856445315,2.465320648195,2.5302644958475,1.0033994800024308
Run2,128,8,128,4,1,DSH,10,14.487528320300001,14.441263671875,14.67603552245,2.091870399381296
Run2,128,8,128,4,1,HSD,10,6.9256337890649995,6.9126663208025,6.936559082027499,1.0
Run2,128,8,128,4,1,SHD,10,6.958740234375,6.939771118162501,6.99966162109,1.0047802766242524
Run2,128,32,64,16,1,DSH,10,6.145680786134999,6.129226623535001,6.16451269531,2.5011488820099546
Run2,128,32,64,16,1,HSD,10,2.45714312744,2.4517071533199997,2.4621479797325,1.0
Run2,128,32,64,16,1,SHD,10,2.575447143555,2.5725250244175,2.5934169006375,1.0481469780062247
Run2,128,32,128,16,1,DSH,10,14.211690185550001,13.897216918949999,14.401235107425,2.030052659898444
Run2,128,32,128,16,1,HSD,10,7.000651000975,6.906130554195,7.152694702149999,1.0
Run2,128,32,128,16,1,SHD,10,7.066991210935,6.99726611328,7.1416422729499995,1.009476291554994
Run2,1024,1,64,0,1,DSH,10,43.597575195299996,43.523131835925,43.75046777345,2.1910072149206345
Run2,1024,1,64,0,1,HSD,10,19.898416992149997,19.719330078125,19.97533154295,1.0
Run2,1024,1,64,0,1,SHD,10,19.638671875,19.597900390625,19.91643261715,0.9869464431641739
